video_id,video_files
1,Rightside_window_user_id_24491_NoAudio_1.24491.444.459.MP4,,
2,Rightside_window_user_id_24491_NoAudio_0.24491.554.579.MP4,,
3,Right_side_window_User_id_24026_NoAudio_3.24026.314.331.MP4,,
4,Right_side_window_User_id_24026_NoAudio_4.24026.329.347.MP4,,
5,Rightside_window_user_id_35133_NoAudio_0.35133.573.590.MP4,,
6,Rightside_window_user_id_35133_NoAudio_2.35133.508.527.MP4,,
7,Right_side_window_User_id_38058_NoAudio_0.38508.139.162.MP4,,
8,Right_side_window_User_id_38058_NoAudio_1.38508.141.164.MP4,,
9,Right_window_user_id_49381_NoAudio_0.49381.392.416.MP4,,
10,Right_window_user_id_49381_NoAudio_1.49381.401.425.MP4,,
